,City,Lat,Lng,Country,Date,Max Temp,Wind Speed,Cloud Cover,Humidity
0,Port Alfred,-33.59,26.89,ZA,1540685923,67.78,14.14,0,95
1,Vestmannaeyjar,63.44,-20.27,IS,1540685923,40.42,29.57,100,100
2,Kruisfontein,-34.0,24.73,ZA,1540685912,62.83,13.24,0,85
3,Ushuaia,-54.81,-68.31,AR,1540681200,48.2,10.29,40,76
4,Changji,32.07,116.17,CN,1540685925,54.33,8.43,0,64
5,Mataura,-46.19,168.86,NZ,1540685925,52.26,5.75,88,97
6,Ponta do Sol,-20.63,-46.0,BR,1540685925,69.94,8.88,88,86
7,Carnarvon,-30.97,22.13,ZA,1540685926,57.12,2.17,0,25
8,Busselton,-33.64,115.35,AU,1540685926,59.14,10.78,0,100
9,Airai,-8.93,125.41,TL,1540685926,81.55,2.06,0,42
10,Mar del Plata,-46.43,-67.52,AR,1540685926,60.45,4.18,0,47
11,Atuona,-9.8,-139.03,PF,1540685927,80.16,19.95,80,100
12,Bluff,-23.58,149.07,AU,1540685927,89.61,5.19,0,45
13,Namibe,-15.19,12.15,AO,1540685927,78.94,13.02,0,84
14,Christchurch,-43.53,172.64,NZ,1540684800,60.8,10.29,0,67
15,Saint George,39.45,22.34,GR,1540684200,53.6,4.7,0,100
16,Torbay,47.66,-52.73,CA,1540681200,39.2,11.41,90,69
17,Mahebourg,-20.41,57.7,MU,1540681200,64.4,6.93,20,88
18,San Patricio,-26.98,-56.83,PY,1540685929,64.86,4.52,0,68
19,Kapaa,22.08,-159.32,US,1540684560,86.0,13.87,75,69
20,Gunjur,13.18,-16.76,GM,1540684800,77.0,2.24,0,88
21,Pangnirtung,66.15,-65.72,CA,1540685931,23.77,6.2,88,95
22,Inuvik,68.36,-133.71,CA,1540684800,24.8,4.7,90,92
23,Dikson,73.51,80.55,RU,1540685934,24.94,33.6,76,100
24,Barrow,-38.31,-60.23,AR,1540685863,62.02,10.45,0,76
25,Vitim,59.44,112.57,RU,1540685934,15.67,2.95,44,82
26,Cherskiy,68.75,161.3,RU,1540685677,-5.12,3.51,76,83
27,Qaanaaq,77.48,-69.36,GL,1540685934,-8.18,10.0,0,100
28,Inongo,-1.93,18.29,CD,1540685935,75.25,1.39,56,96
29,Lebu,8.96,38.73,ET,1540685646,42.9,3.18,0,91
30,Thompson,55.74,-97.86,CA,1540684800,32.0,5.82,90,98
31,Portland,45.52,-122.67,US,1540684560,59.0,12.75,90,100
32,Zhongshu,24.52,103.77,CN,1540685935,57.34,3.74,92,100
33,Punta Arenas,-53.16,-70.91,CL,1540681200,51.8,19.46,75,57
34,Arraial do Cabo,-22.97,-42.02,BR,1540685936,73.32,9.33,92,97
35,Rikitea,-23.12,-134.97,PF,1540685866,73.18,14.7,32,100
36,Pontes e Lacerda,-15.23,-59.33,BR,1540685936,78.9,3.4,12,86
37,Mehamn,71.03,27.85,NO,1540685936,31.78,14.03,88,80
38,Bredasdorp,-34.53,20.04,ZA,1540681200,66.2,12.75,56,82
39,Saskylakh,71.97,114.09,RU,1540685936,23.1,24.87,88,86
40,Saint-Augustin,44.83,-0.61,FR,1540684800,44.6,10.29,0,70
41,Albany,42.65,-73.75,US,1540685100,44.6,9.17,20,81
